# Tower of Hanoi Solution for 8 Disks

I'll solve the Tower of Hanoi puzzle for 8 disks using a recursive approach.

## Understanding the Problem
- We have 8 disks of different sizes (1 through 8, with 1 being the smallest)
- Initial state: All disks are on peg 0, arranged from largest (8) at bottom to smallest (1) at top
- Goal: Move all disks to peg 2
- Rules: Only move one disk at a time, never place a larger disk on a smaller one

## Solution Approach
The Tower of Hanoi has a well-known recursive solution. For n disks:
1. Move n-1 disks from source to auxiliary peg
2. Move the largest disk from source to destination peg
3. Move n-1 disks from auxiliary to destination peg

For 8 disks, we need 2^8 - 1 = 255 moves.

## Complete Solution (255 moves)

```
moves = [
    [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2],
    [4, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1],
    [1, 2, 1], [5, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1],
    [2, 2, 0], [1, 1, 0], [4, 1, 2], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2],
    [1, 1, 0], [2, 1, 2], [1, 0, 2], [6, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0],
    [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [4, 2, 0], [1, 1, 0], [2, 1, 2],
    [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [5, 2, 1], [1, 0, 2],
    [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1],
    [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1],
    [7, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0],
    [1, 1, 0], [4, 1, 2], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0],
    [2, 1, 2], [1, 0, 2], [5, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1],
    [1, 0, 2], [2, 0, 1], [1, 2, 1], [4, 2, 0], [1, 1, 0], [2, 1, 2], [1, 0, 2],
    [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [6, 1, 2], [1, 0, 2], [2, 0, 1],
    [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 1],
    [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [5, 0, 2],
    [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0],
    [4, 1, 2], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2],
    [1, 0, 2], [8, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2],
    [2, 0, 1], [1, 2, 1], [4, 2, 0], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0],
    [1, 2, 1], [2, 2, 0], [1, 1, 0], [5, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1],
    [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 1], [2, 2, 0],
    [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [6, 2, 0], [1, 1, 0],
    [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [4, 1, 2],
    [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2],
    [5, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1],
    [1, 2, 1], [4, 2, 0], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1],
    [2, 2, 0], [1, 1, 0], [7, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2],
    [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0],
    [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [5, 0, 2], [1, 1, 0], [2, 1, 2],
    [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [4, 1, 2], [1, 0, 2],
    [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [6, 0, 1],
    [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1],
    [4, 2, 0], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0],
    [1, 1, 0], [5, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0],
    [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1],
    [1, 0, 2], [2, 0, 1], [1, 2, 1]
]
```

This solution follows the optimal strategy for the Tower of Hanoi puzzle, requiring exactly 2^8 - 1 = 255 moves to transfer all 8 disks from peg 0 to peg 2 while adhering to all the rules.
