# Tower of Hanoi Solution for 9 Disks

I'll solve the Tower of Hanoi puzzle for 9 disks by using the recursive nature of this problem.

## Approach
The Tower of Hanoi has a well-known recursive solution:
1. Move n-1 disks from source to auxiliary peg
2. Move the largest disk from source to destination peg
3. Move n-1 disks from auxiliary to destination peg

## Solution for 9 Disks

For 9 disks, we need 2^9 - 1 = 511 moves. Here's the complete solution:

```
moves = [
    [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], 
    [4, 0, 1], [1, 2, 0], [2, 2, 1], [1, 0, 1], [3, 2, 0], [1, 1, 2], [2, 1, 0], 
    [1, 2, 0], [5, 0, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], [1, 2, 0], 
    [2, 2, 1], [1, 0, 1], [4, 1, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], 
    [1, 2, 1], [2, 2, 0], [1, 1, 0], [6, 0, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], 
    [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [4, 0, 1], [1, 2, 0], [2, 2, 1], 
    [1, 0, 1], [3, 2, 0], [1, 1, 2], [2, 1, 0], [1, 2, 0], [5, 2, 1], [1, 0, 1], 
    [2, 0, 2], [1, 1, 2], [3, 0, 1], [1, 2, 0], [2, 2, 1], [1, 0, 1], [4, 1, 2], 
    [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], 
    [7, 0, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], [1, 2, 0], [2, 2, 1], 
    [1, 0, 1], [4, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], 
    [2, 2, 0], [1, 1, 0], [5, 1, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], 
    [1, 2, 0], [2, 2, 1], [1, 0, 1], [4, 2, 0], [1, 1, 2], [2, 1, 0], [1, 2, 0], 
    [3, 1, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2], [6, 1, 0], [1, 2, 1], [2, 2, 0], 
    [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], [1, 2, 1], [4, 0, 2], [1, 1, 0], 
    [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [5, 2, 1], 
    [1, 0, 2], [2, 0, 1], [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], 
    [4, 2, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [3, 2, 1], [1, 0, 2], [2, 0, 1], 
    [1, 2, 1], [8, 0, 1], [1, 1, 0], [2, 1, 2], [1, 0, 2], [3, 1, 0], [1, 2, 1], 
    [2, 2, 0], [1, 1, 0], [4, 1, 2], [1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], 
    [1, 2, 0], [2, 2, 1], [1, 0, 1], [5, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], 
    [3, 1, 0], [1, 2, 1], [2, 2, 0], [1, 1, 0], [4, 2, 1], [1, 0, 2], [2, 0, 1], 
    [1, 2, 1], [3, 0, 2], [1, 1, 0], [2, 1, 2], [1, 0, 2], [6, 0, 1], [1, 2, 0], 
    [2, 2, 1], [1, 0, 1], [3, 2, 0], [1, 1, 2], [2, 1, 0], [1, 2, 0], [4, 1, 2], 
    [1, 0, 1], [2, 0, 2], [1, 1, 2], [3, 0, 1], [1, 2, 0], [2, 2, 1], [1, 0, 1], 
    [5, 2, 0], [1, 1, 2], [2, 1, 0], [1, 2, 0], [3, 1, 2], [1, 0, 1], [2, 0, 2], 
